country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",13-05-2025 23:00:00,22.1910172,83.5197009,NO2,NA,NA,NA
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",13-05-2025 23:00:00,21.258815,81.578979,PM2.5,29,52,38
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",13-05-2025 23:00:00,26.1209,85.3647,SO2,4,8,6
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",13-05-2025 23:00:00,25.586562,85.043586,CO,18,78,49
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",13-05-2025 23:00:00,25.592539,85.227158,PM2.5,31,131,70
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",13-05-2025 23:00:00,25.592539,85.227158,NO2,5,10,6
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",13-05-2025 23:00:00,25.592539,85.227158,NH3,7,9,8
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",13-05-2025 23:00:00,25.592539,85.227158,SO2,2,63,17
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",13-05-2025 23:00:00,26.63086,84.90051,OZONE,10,12,11
India,Bihar,Munger,"Town Hall, Munger - BSPCB",13-05-2025 23:00:00,25.376776,86.471523,PM2.5,NA,NA,NA
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",13-05-2025 23:00:00,26.11442,85.39813,PM2.5,31,78,50
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",13-05-2025 23:00:00,26.11442,85.39813,NO2,4,19,9
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",13-05-2025 23:00:00,26.11442,85.39813,NH3,2,4,3
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",13-05-2025 23:00:00,26.1209,85.3647,PM2.5,NA,NA,NA
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",13-05-2025 23:00:00,25.366336,87.117468,CO,3,46,35
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",13-05-2025 23:00:00,25.366336,87.117468,OZONE,16,50,21
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",13-05-2025 23:00:00,25.03280,85.41948,OZONE,32,36,33
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",13-05-2025 23:00:00,25.892357,86.590325,CO,1,86,57
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",13-05-2025 23:00:00,21.224231,81.408350,CO,12,50,24
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",13-05-2025 23:00:00,22.08815,82.13737,SO2,NA,NA,NA
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",13-05-2025 23:00:00,22.118125,83.140608,NH3,7,7,7
India,Bihar,Patna,"Muradpur, Patna - BSPCB",13-05-2025 23:00:00,25.619651,85.147382,OZONE,5,39,22
India,Bihar,Patna,"Samanpura, Patna - BSPCB",13-05-2025 23:00:00,25.596727,85.085624,NO2,36,54,44
India,Bihar,Patna,"Samanpura, Patna - BSPCB",13-05-2025 23:00:00,25.596727,85.085624,NH3,5,7,6
India,Bihar,Patna,"Samanpura, Patna - BSPCB",13-05-2025 23:00:00,25.596727,85.085624,SO2,2,3,2
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",13-05-2025 23:00:00,26.2271665,84.3570427,NO2,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",13-05-2025 23:00:00,30.735567,76.775714,PM10,39,139,70
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",13-05-2025 23:00:00,21.194815,81.314770,SO2,NA,NA,NA
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",13-05-2025 23:00:00,21.194815,81.314770,CO,14,34,21
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",13-05-2025 23:00:00,28.732820,77.170633,SO2,6,37,17
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",13-05-2025 23:00:00,28.580280,77.233829,PM2.5,5,103,26
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",13-05-2025 23:00:00,28.580280,77.233829,PM10,64,177,110
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",13-05-2025 23:00:00,28.580280,77.233829,NO2,34,88,55
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",13-05-2025 23:00:00,28.580280,77.233829,OZONE,29,99,58
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",13-05-2025 23:00:00,28.588333,77.221667,PM10,43,132,89
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",13-05-2025 23:00:00,28.588333,77.221667,NO2,24,159,66
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",13-05-2025 23:00:00,28.5918245,77.2273074,PM2.5,7,110,40
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",13-05-2025 23:00:00,28.5918245,77.2273074,NO2,14,49,24
India,Delhi,Delhi,"Alipur, Delhi - DPCC",13-05-2025 23:00:00,28.815329,77.153010,OZONE,11,65,36
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",13-05-2025 23:00:00,28.647622,77.3158090,PM2.5,18,85,45
